State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,19777,20544,15749,19675,21161,19737,19609,22122,25141,23976,23931,9614,10593,15144,19349,19657
Alaska,4453,4401,4517,4393,4392,4685,4662,5370,5950,6324,6536,6347,6105,2413,5676,5409
Arizona,31242,28358,25828,26739,27703,26460,25854,29948,31825,35782,33560,32603,35391,13329,33005,30327
Arkansas,14502,14335,14241,13996,13681,13122,13311,14890,15914,16368,16626,17235,20184,20897,19788,18877
California,185350,174639,164087,154874,160901,151871,151579,166710,174751,178588,176969,173320,173941,36704,194491,201928
Colorado,17356,16885,16644,15923,15755,15896,16304,17288,18907,20869,23021,22269,25275,28047,29309,28408
Connecticut,10739,10587,10088,9891,10210,9345,8582,7944,8181,8200,7513,6627,6603,6282,5631,5573
Delaware,6187,5708,5607,5146,5049,4635,4568,4764,4861,4376,4088,4113,4363,4254,3996,4070
Florida,126191,113541,102051,98268,94081,91802,91188,93556,88577,85658,81993,81183,83199,21020,59633,49432
Georgia,45569,40703,37829,35965,37085,35862,37390,36543,39354,32275,33249,27676,27904,35559,39533,35676
Hawaii,3510,3550,3603,3466,3378,2236,1770,3530,3452,3577,3711,3817,3701,3883,3952,2894
Idaho,3676,3780,3450,3171,3347,3440,3418,3581,3848,4167,4177,4241,4626,4588,4839,4707
Illinois,54516,50988,55871,53579,51876,50089,46840,48851,54815,55594,52141,51510,51255,21174,32898,36406
Indiana,20595,20363,20007,20183,21383,21889,22065,23166,24155,23980,22572,20790,24174,20352,20048,21809
Iowa,8516,8332,7967,7646,7793,8071,8232,8491,9021,8958,7024,8919,9612,9043,8851,8579
Kansas,11118,10889,10471,10078,10254,9698,9726,10865,9881,10440,11259,11069,11550,12343,12219,12196
Kentucky,12318,10881,10347,10371,9683,9235,9486,9899,10476,10472,9878,10095,12231,12305,10066,10464
Louisiana,28032,26795,24160,23913,21818,22920,24061,24855,26166,25378,24302,24915,28097,27725,26428,23908
Maine,1574,1597,1622,1640,1627,1667,1608,1646,1651,1613,1500,1570,1496,1569,1483,1458
Maryland,35396,33629,31610,28809,28090,27160,26057,26533,29006,30146,28357,27528,24796,15169,26230,27392
Massachusetts,29903,30341,30607,27736,26604,26773,25989,25844,25441,24228,23270,22527,21344,21011,22630,21983
Michigan,51072,49412,48188,43585,44516,44062,42225,41492,45545,45006,45269,43689,48577,49056,46195,45917
Minnesota,12425,13258,12825,12266,12760,12706,12503,13387,13277,13330,12377,13404,15806,17776,16277,15154
Mississippi,7173,6991,6659,6314,6077,5567,5270,4926,5041,4801,4438,4601,5992,4361,4298,3335
Missouri,29666,29468,27295,26889,27156,26218,26865,30235,31687,32511,30663,30695,33415,31901,30293,28601
Montana,2975,2786,2686,2722,2777,2843,3245,3591,3877,3998,4051,4490,5254,5224,4786,5006
Nebraska,5423,5044,4970,4566,4693,4681,4922,4928,5374,5609,5482,5781,5993,3014,5568,3372
Nevada,18948,18650,18130,14880,16773,16352,18034,20145,19882,16663,17163,15271,14863,13552,14566,13888
New Hampshire,1918,1973,2083,2358,2305,2627,2496,2585,2566,2613,2358,2074,1952,1818,1867,1623
New Jersey,28341,27109,27014,27120,25690,25313,22970,22593,21856,20610,18536,18420,17363,12583,19018,20015
New Mexico,12803,12223,12006,11746,11397,11278,11909,12638,13809,16131,16430,15674,15240,15398,15774,14843
New York,77567,75034,75807,77319,79326,76387,75832,75043,74134,70416,68265,69417,70099,10537,84350,76800
North Carolina,41439,36560,32467,32446,33763,31508,30298,30359,32661,32937,33074,37182,44795,43629,42501,41285
North Dakota,1403,1447,1510,1650,1706,1954,1994,1934,1911,2131,2060,2166,2574,2044,2234,2209
Ohio,38096,36674,34370,33627,33421,32019,30893,31111,33897,33366,33463,33493,35538,35913,34577,34436
Oklahoma,19326,18546,18003,17319,18066,16675,16047,16603,17733,17962,18684,17264,18521,17464,17201,17016
Oregon,9780,9926,9564,9594,9558,9040,9345,6369,10615,11634,12169,12291,12610,14627,14881,14158
Pennsylvania,50505,48004,46321,46004,45383,42750,40259,40154,40314,40036,39200,36791,33302,22172,32137,34195
Rhode Island,2656,2678,2710,2588,2658,2710,2321,2565,2529,2474,2330,2360,2427,2196,1900,1847
South Carolina,32497,30681,28045,27823,26358,24096,23745,24037,24988,25145,25078,25852,27392,26638,26357,25652
South Dakota,2024,1538,2015,1976,2575,2631,2705,3293,3497,3501,3077,3032,4157,3311,3284,3041
Tennessee,44840,41943,38909,38935,41151,37911,39847,40826,42694,44051,42851,41410,47006,46991,44929,45401
Texas,123526,121640,113108,104673,106339,105920,109282,112932,120609,123264,118893,122148,133254,132837,131020,124828
Utah,6110,5955,5869,5500,5797,6542,6242,7038,7307,7436,7391,7413,7745,8270,8217,7947
Vermont,853,835,809,916,879,771,637,764,804,1091,1116,1266,1135,1232,1446,1392
Virginia,20048,18143,17192,16023,15666,16382,16525,16718,18470,17933,17546,18189,18530,19711,20831,21037
Washington,21847,21887,20965,19948,20244,19875,19976,20280,21904,22514,23614,23181,23061,26015,29500,28151
West Virginia,4667,5055,4776,4911,5420,4757,4797,5300,5947,5998,4765,4718,5160,4676,4672,4501
Wisconsin,15496,14605,14086,14168,16095,15712,16333,17096,17479,18628,17373,17181,19033,18899,17867,17512
Wyoming,1315,1184,1107,1234,1130,1125,1098,1252,1365,1313,1075,1110,1312,1003,1010,1058
