Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USA,274.0222661,286.139967,293.1263666,307.4932732,319.9258947,327.1679952,329.8069027,342.2882607,353.1984923,341.3325621,329.1931763,343.9556716,349.1702256,352.9141803,352.4573285,334.7989733,321.2756414,305.0213657,300.8026552,312.96836,309.0132341,308.7740568,316.0223373,327.100651,331.3623341,328.0872357,323.131374,323.2569296,325.4775013,327.0129849,329.880769,336.8052653,335.0817641,332.9820285,334.8153267,338.409836,326.8501801,328.3165851,326.2655436,329.4353541,326.3857983,320.663464,321.8572557,310.9835868,293.0125417,300.2503885,295.0991456,284.7628146,290.0133517,290.606883,285.5468729,283.0516436,281.8930181,290.1437455,286.200865,263.8596303,277.2855711,282.0524915,277.300213
Canada,253.9783538,265.4493321,272.7673397,285.7488426,298.7197,313.8306855,316.9548783,336.0320626,360.3744547,366.6525888,356.1585842,368.1050274,384.897087,388.2359888,395.4204854,398.2658205,391.0725368,374.9837069,369.1179076,388.9600819,398.0119679,397.6756897,405.4716075,415.7605262,413.2448954,391.6120747,388.1736494,393.9026508,399.3287842,410.0646404,415.6719969,422.6057073,420.5932204,410.9565985,420.5054652,427.9512698,414.7872929,424.4954061,422.5145127,425.0809883,423.8811904,417.4067108,428.9709586,419.3249679,398.3969328,397.7494025,408.4176304,405.3121282,410.5839803,407.5143878,404.9444651,397.1469332,397.6939298,397.5834789,390.278598,363.1176829,364.8567691,371.8464582,359.6990108
Brazil,11.65075627,12.3662608,12.47697836,13.88348421,14.77571858,16.93589525,18.41536681,20.52621348,23.6009703,25.68225364,26.47233561,28.31044265,29.49024974,31.85347125,33.95000858,33.94630888,32.50140099,33.40008299,33.03190877,34.40851797,36.10057106,37.29974954,37.57393166,37.99077533,38.34116936,37.40762478,37.95405343,37.85420709,38.97183436,40.22776009,42.11258944,43.91340488,45.99146796,46.918316,46.78539472,48.24115406,46.4177838,46.87845227,47.20292513,48.93732635,49.65287627,50.47446202,53.17326591,54.918316,54.01527178,58.39535729,59.86742199,61.06857946,61.99718989,63.06855587,61.7045462,59.73035181,59.79126698,59.54079542,60.05500849,57.3167793,59.97591229,62.40167221,64.10320637
Germany,140.5814266,139.8771073,138.5183428,146.9936291,157.8106519,166.0352333,167.0687973,172.5863132,182.4702869,179.4047702,172.6128966,184.5339206,184.4240802,191.4633043,202.5068832,196.1933916,190.3345206,183.8021895,186.507354,193.39234,198.9363851,196.8659751,197.8238466,197.518396,194.3407864,190.1659569,184.5356796,179.9589788,178.3402416,175.9970961,176.3891374,181.8067337,179.1769995,177.5011729,174.9552273,176.0533412,179.4289943,177.3280338,177.4832413,177.6326642,175.6570113,180.1550507,172.6492103,174.4057902,163.5705283,170.3010077,164.0573667,166.0776818,170.5014799,163.1793891,165.8408704,167.9701936,169.4086111,164.4897582,159.9725879,148.7834677,152.9878098,147.377043,136.9881678
UK,153.6195091,153.4300041,152.5916868,157.2037166,162.1539595,164.8627296,161.1564895,162.9966631,170.7693633,161.999758,152.6395672,155.7861801,158.7496907,159.6696095,167.0658481,152.0127482,147.6201015,145.5655986,146.0213175,145.786645,151.7722911,155.7656981,155.2166997,156.9376796,156.7849279,157.6523352,160.5520594,159.1394754,160.5908523,158.2827269,158.4288773,165.6847318,162.337282,163.1428914,161.8329093,162.7614783,163.7783029,159.5638856,161.064137,161.4502782,161.7266003,158.5761056,153.0360359,149.1968986,140.5240877,142.3203647,133.2076731,134.2345621,133.0618281,124.8313742,125.9175525,123.0178374,122.5565537,121.7540463,118.5505533,105.8206387,106.5300007,107.6574902,102.6049941
Russia,108.1134486,113.6603924,118.1367734,121.2974412,125.6817069,130.8019217,136.0539712,141.6797897,147.6201224,154.3940413,160.5166639,165.2301085,171.047617,176.8334332,180.1167503,182.6660118,185.0640291,188.0818935,190.2898065,195.6344655,240.723365,243.032942,248.7987551,251.1533539,250.5810304,245.0849528,241.0091845,231.5662609,215.6444478,196.8588488,186.6437448,180.0371991,170.6071631,170.5975678,173.1516264,176.8582828,180.4059765,180.4686714,184.9954382,187.3920026,187.8584103,196.8273534,198.1725934,199.128805,189.1533547,196.3888436,202.9091303,203.7334732,200.8733043,201.0460449,197.3478741,200.6064166,201.3624174,208.4138189,206.749251,199.7309883,206.8002408,214.7408759,216.6313575
Japan,66.29834882,74.49169623,82.69243049,89.95817821,103.5960118,116.7520085,120.7452058,127.574884,138.1626763,135.1491677,132.2662328,136.3746326,134.4109946,136.0757185,137.4651753,131.5614246,128.6397341,123.9533104,126.8319187,130.6202686,133.1906071,132.3645998,137.5034785,144.4516386,147.7885607,150.8932171,155.6218789,156.9746044,159.1696514,164.5328406,169.6738086,172.6441043,175.5885536,172.4260121,174.7732527,177.5337517,175.2520815,174.3670187,174.0084374,176.1522471,178.9436313,178.3312874,176.4612124,173.1037197,157.9740495,168.1558539,159.4374362,158.1274842,157.2085745,153.3800104,151.7485763,150.1189045,152.1906082,151.5937706,148.9759414,138.6955925,145.5305793,145.3596258,141.1558785
China,7.640156175,8.08872788,7.100922287,6.996798169,8.288511773,10.33648432,11.95377827,12.59539074,13.01285957,13.15629077,14.47845286,15.00940097,16.13711976,17.45852567,17.7409802,17.69097044,17.1969872,17.67837242,18.53013535,19.60071352,20.8833248,21.52478875,22.8115223,24.08983746,24.86848151,24.77038416,25.64046419,26.68102171,28.47123295,29.9644853,30.59536254,31.96845655,31.93733578,31.76202456,32.64995944,33.60577068,35.27212318,38.16751455,44.18395485,51.38188573,58.01097101,63.19004473,68.23879563,70.42247823,73.01184956,77.5855688,83.12718583,85.943519,88.56130119,90.258134,90.75708644,90.5918406,93.55458489,97.57793951,101.7528807,104.8313874,110.7019729,112.3922847,119.7605825
India,4.459030618,4.497696653,4.541033132,4.751022243,5.152198871,4.931767593,5.017183821,5.162825652,5.153374981,5.33744197,5.612036232,5.757355728,5.956786404,6.05687731,6.251247303,6.295604979,6.813905774,6.596239578,6.781980072,7.082633555,7.309712953,7.650440923,7.956533755,8.473112345,9.056542308,9.515197621,9.831450738,10.12587342,10.1673017708296,10.50040856,11.0623829,11.28250272,11.67996008,12.15759515,12.26997116,12.65667975,12.48147144,12.68755843,12.91494568,13.79040199,14.3683916,14.90780454,15.94384012,16.63621892,17.62827836,18.14003532,18.87097269,19.62771141,20.01607075,21.10574579,21.57953662,22.2808067,22.86425194,23.89854369,24.25144082,22.76027086,24.5148973,25.66479495,27.31032215
Australia,134.9305813,138.5327685,144.2221259,150.1669716,153.300326,162.9503976,165.9023391,169.4654043,178.318999,186.886264,187.6624232,192.1002746,199.3527711,203.4294347,208.5770801,206.6654786,206.8350493,201.7154746,196.9474544,201.3469149,204.4039225,205.1348541,207.5826018,213.7693333,220.6975843,221.9547739,217.5997067,218.6120022,221.4214031,227.569248,230.8213383,234.8632292,238.0324499,241.2036472,248.4164288,247.0787359,246.0178651,248.0140235,248.6981324,253.7507983,251.7017878,258.7095659,260.2969657,259.5216788,250.8835028,246.6859352,250.9710586,243.2989235,242.3054271,240.2790957,242.0032225,239.0263314,234.4793367,234.1927266,238.4902509,222.3000999,220.6955963,228.4281421,227.7247928
